N	Stdev.Throughput	Stdev.Total
1	0.0	0.0
2	0.00327892294576	0.006237395
3	0.00677994104269	0.045591648
4	0.00738349315463	0.08302504
5	0.00523272385984	0.057319135
6	0.00387456426984	0.048773268
7	0.00189416547854	0.054625711
8	0.00218866555477	0.057651232
9	0.00101480732857	0.047262447
10	0.000798874213688	0.05115982
11	0.000879303058983	0.052250022
12	0.000499438463185	0.044787348
13	0.000353626187888	0.04151875
14	0.000465516615051	0.041653486
15	0.000409159891783	0.03775176
16	0.000395797049767	0.032348064
17	0.000347692137047	0.034529958
18	0.000251142500099	0.030801384
19	0.000292237083685	0.030840287
20	0.00020309164765	0.0287679
