N	Avg.Throughput	TotalThroughput
1	2.89536	2.89536
2	1.4082025	2.816405
3	1.11188	3.33564
4	0.83909851375	3.356394055
5	0.68653875	3.43269375
6	0.580226666667	3.48136
7	0.493807428571	3.456652
8	0.434976698125	3.479813585
9	0.388687111111	3.498184
10	0.35507291	3.5507291
11	0.321264818182	3.533913
12	0.294044343333	3.52853212
13	0.27329	3.55277
14	0.253446678571	3.5482535
15	0.2345142	3.517713
16	0.222004125	3.552066
17	0.208726350294	3.548347955
18	0.198300941111	3.56941694
19	0.186764815263	3.54853149
20	0.1755297795	3.51059559
