N	Avg.Throughput	TotalThroughput
1	2.268685	2.268685
2	1.122178	2.244356
3	0.821723066667	2.4651692
4	0.658147985	2.63259194
5	0.535712548	2.67856274
6	0.449664383167	2.697986299
7	0.384786658571	2.69350661
8	0.337641738875	2.701133911
9	0.301074948889	2.70967454
10	0.271437133	2.71437133
11	0.246084065727	2.706924723
12	0.2278132825	2.73375939
13	0.211610726538	2.750939445
14	0.194691228571	2.7256772
15	0.181689450933	2.725341764
16	0.170482657437	2.727722519
17	0.163051423765	2.771874204
18	0.152824149111	2.750834684
19	0.144231016789	2.740389319
20	0.138374173	2.76748346
