N	Stdev.Throughput	Stdev.Total
1	0.0	0.0
2	0.00762729826892	0.0184544008
3	0.0139859428608	0.041545767
4	0.00890728529529	0.032929872
5	0.0062640920885	0.05627572
6	0.0057100848924	0.062369304
7	0.00192943968442	0.033772697
8	0.00161907026686	0.033806504
9	0.0010584932093	0.034105977
10	0.000980525546549	0.03039942
11	0.000883318899212	0.024953005
12	0.000683662110272	0.021868284
13	0.000426295844671	0.022666358
14	0.000455036098107	0.0202014428
15	0.000224106289146	0.0171543525
16	0.000338493670051	0.0177475856
17	0.000373423467523	0.016728204
18	0.000187503886601	0.0152602974
19	0.000232068107772	0.0157029927
20	0.000146510802976	0.012782358
