N	Stdev.Throughput	Stdev.Total
1	0.0	0.0
2	0.00550889464168	0.01495754598
3	0.016018691891	0.043189431
4	0.0112702542232	0.05925384
5	0.00545535631486	0.05486182
6	0.00404625647421	0.054705768
7	0.00215608233688	0.037928604
8	0.00155937988462	0.03786232
9	0.00112930640878	0.032930136
10	0.000685094732536	0.02675011
11	0.000386112037865	0.021907006
12	0.000526797981127	0.02920932
13	0.000525863590716	0.023917881
14	0.000460152778593	0.019016431
15	0.000334399292166	0.018841647
16	0.000333467285767	0.0219984192
17	0.000375308731398	0.019137376
18	0.000242843056536	0.0158264892
19	0.000188043739996	0.0141283468
20	8.7041808953e-05	0.012844754
