N	Avg.Throughput	TotalThroughput
1	2.25894	2.25894
2	1.1286725	2.257345
3	0.863514	2.590542
4	0.651995375	2.6079815
5	0.5284516	2.642258
6	0.437928245833	2.627569475
7	0.382688285714	2.678818
8	0.335358125	2.682865
9	0.296409611111	2.6676865
10	0.274274	2.74274
11	0.245979181818	2.705771
12	0.226736343333	2.72083612
13	0.212658257692	2.76455735
14	0.196465725	2.75052015
15	0.180185466667	2.702782
16	0.1704203125	2.726725
17	0.161416438235	2.74407945
18	0.151607118333	2.72892813
19	0.143731490526	2.73089832
20	0.13690766925	2.738153385
